GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
47001020600,2000,206.0,"Anderson County, Tennessee",2556.0,2.07,10.2,527.0,61250.0,109800.0,20.0,89.4,5.09,1.21,0.16,2.46,0.08,1.56,0.04,105.0,2.0,2.0,1.9,1.9,0,0,1
47001020600,2001,206.0,"Anderson County, Tennessee",2556.0,2.07,10.2,527.0,61250.0,109800.0,20.0,89.4,5.09,1.21,0.16,2.46,0.08,1.56,0.04,104.0,2.0,2.0,1.92,1.92,0,0,1
47001020600,2002,206.0,"Anderson County, Tennessee",2556.0,2.07,10.2,527.0,61250.0,109800.0,20.0,89.4,5.09,1.21,0.16,2.46,0.08,1.56,0.04,104.0,4.0,3.0,2.89,3.85,0,0,1
47001020600,2003,206.0,"Anderson County, Tennessee",2556.0,2.07,10.2,527.0,61250.0,109800.0,20.0,89.4,5.09,1.21,0.16,2.46,0.08,1.56,0.04,103.0,2.0,2.0,1.94,1.94,0,0,1
47001020600,2004,206.0,"Anderson County, Tennessee",2556.0,2.07,10.2,527.0,61250.0,109800.0,20.0,89.4,5.09,1.21,0.16,2.46,0.08,1.56,0.04,103.0,4.0,4.0,3.9,3.9,0,0,1
47001020600,2005,206.0,"Anderson County, Tennessee",2481.0,1.41,12.45,725.0,62396.0,144500.0,24.8,82.95,11.21,1.98,0.4,0.0,0.0,3.47,0.0,102.0,1.0,1.0,0.98,0.98,0,0,1
47001020600,2006,206.0,"Anderson County, Tennessee",2481.0,1.41,12.45,725.0,62396.0,144500.0,24.8,82.95,11.21,1.98,0.4,0.0,0.0,3.47,0.0,101.0,2.0,2.0,1.97,1.97,0,0,1
47001020600,2007,206.0,"Anderson County, Tennessee",2481.0,1.41,12.45,725.0,62396.0,144500.0,24.8,82.95,11.21,1.98,0.4,0.0,0.0,3.47,0.0,101.0,1.0,1.0,0.99,0.99,0,0,1
47001020600,2008,206.0,"Anderson County, Tennessee",2481.0,1.41,12.45,725.0,62396.0,144500.0,24.8,82.95,11.21,1.98,0.4,0.0,0.0,3.47,0.0,100.0,5.0,5.0,4.99,4.99,0,0,1
47001020600,2009,206.0,"Anderson County, Tennessee",2481.0,1.41,12.45,725.0,62396.0,144500.0,24.8,82.95,11.21,1.98,0.4,0.0,0.0,3.47,0.0,100.0,,,,,0,0,0
47001020700,2000,207.0,"Anderson County, Tennessee",1995.0,23.71,26.78,229.0,19625.0,41200.0,18.0,97.84,0.05,1.45,0.15,0.15,0.0,0.2,0.15,207.0,2.0,2.0,0.97,0.97,0,0,1
47001020700,2001,207.0,"Anderson County, Tennessee",1995.0,23.71,26.78,229.0,19625.0,41200.0,18.0,97.84,0.05,1.45,0.15,0.15,0.0,0.2,0.15,204.0,3.0,3.0,1.47,1.47,0,0,1
47001020700,2002,207.0,"Anderson County, Tennessee",1995.0,23.71,26.78,229.0,19625.0,41200.0,18.0,97.84,0.05,1.45,0.15,0.15,0.0,0.2,0.15,200.0,5.0,5.0,2.5,2.5,0,0,1
47001020700,2003,207.0,"Anderson County, Tennessee",1995.0,23.71,26.78,229.0,19625.0,41200.0,18.0,97.84,0.05,1.45,0.15,0.15,0.0,0.2,0.15,197.0,3.0,2.0,1.01,1.52,0,0,1
